paper_id,artifact_set_id,source_route,confirmed_defective_page_count,confirmed_defective_pages,legitimate_noncontent_page_count,legitimate_noncontent_pages,repair_layer,requires_ocr_for_repair,requires_extraction_for_repair,requires_reconstruction,requires_artifact_repromotion,requires_index_refresh,requires_g10_revalidation,requires_human_rereview,scope_confidence
CUMCM-1999-A-008,derived/scale/papers/CUMCM-1999-A-008,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,10,1;2;3;4;5;6;7;8;9;10,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-1999-B-001,derived/scale/papers/CUMCM-1999-B-001,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,7,1;2;3;4;5;6;7,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-1999-B-002,derived/scale/papers/CUMCM-1999-B-002,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,7,1;2;3;4;5;6;7,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-1999-B-003,derived/scale/papers/CUMCM-1999-B-003,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,6,1;2;3;4;5;6,0,,FORMAL_BODY_RECONSTRUCTION_SERIALIZATION,1,1,1,1,1,1,1,HIGH
CUMCM-1999-B-004,derived/scale/papers/CUMCM-1999-B-004,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,7,1;2;3;4;5;6;7,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-1999-B-005,derived/scale/papers/CUMCM-1999-B-005,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,10,1;2;3;4;5;6;7;8;9;10,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-1999-C-001,derived/scale/papers/CUMCM-1999-C-001,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,7,1;2;3;4;5;6;7,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-1999-C-002,derived/scale/papers/CUMCM-1999-C-002,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,6,1;2;3;4;5;6,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-1999-C-003,derived/scale/papers/CUMCM-1999-C-003,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,6,1;2;3;4;5;6,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2000-A-001,derived/scale/papers/CUMCM-2000-A-001,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,5,1;2;3;4;5,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2000-A-002,derived/scale/papers/CUMCM-2000-A-002,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,8,1;2;3;4;5;6;7;8,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2000-A-003,derived/scale/papers/CUMCM-2000-A-003,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,7,1;2;3;4;5;6;7,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2000-A-004,derived/scale/papers/CUMCM-2000-A-004,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,8,1;2;3;4;5;6;7;8,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2000-A-005,derived/scale/papers/CUMCM-2000-A-005,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,9,1;2;3;4;5;6;7;8;9,0,,FORMAL_BODY_RECONSTRUCTION_SERIALIZATION,1,1,1,1,1,1,1,HIGH
CUMCM-2000-A-006,derived/scale/papers/CUMCM-2000-A-006,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,9,1;2;3;4;5;6;7;8;9,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2000-B-001,derived/scale/papers/CUMCM-2000-B-001,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,4,1;2;3;4,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2000-B-002,derived/scale/papers/CUMCM-2000-B-002,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,4,1;2;3;4,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2000-B-003,derived/scale/papers/CUMCM-2000-B-003,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,6,1;2;3;4;5;6,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2000-B-004,derived/scale/papers/CUMCM-2000-B-004,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,4,1;2;3;4,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2000-B-005,derived/scale/papers/CUMCM-2000-B-005,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,8,1;2;3;4;5;6;7;8,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2000-B-006,derived/scale/papers/CUMCM-2000-B-006,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,6,1;2;3;4;5;6,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2000-B-007,derived/scale/papers/CUMCM-2000-B-007,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,6,1;2;3;4;5;6,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2000-B-008,derived/scale/papers/CUMCM-2000-B-008,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,5,1;2;3;4;5,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2000-C-001,derived/scale/papers/CUMCM-2000-C-001,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,8,1;2;3;4;5;6;7;8,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2000-C-002,derived/scale/papers/CUMCM-2000-C-002,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,3,1;2;3,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2000-C-003,derived/scale/papers/CUMCM-2000-C-003,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,6,1;2;3;4;5;6,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2000-C-004,derived/scale/papers/CUMCM-2000-C-004,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,5,1;2;3;4;5,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2000-D-001,derived/scale/papers/CUMCM-2000-D-001,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,5,1;2;3;4;5,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2000-D-002,derived/scale/papers/CUMCM-2000-D-002,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,3,1;2;3,0,,UNRESOLVED,0,1,1,1,1,1,1,HIGH
CUMCM-2000-D-003,derived/scale/papers/CUMCM-2000-D-003,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,3,1;2;3,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2001-A-001,derived/scale/papers/CUMCM-2001-A-001,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,6,1;2;3;4;5;6,0,,FORMAL_BODY_RECONSTRUCTION_SERIALIZATION,1,1,1,1,1,1,1,HIGH
CUMCM-2001-A-002,derived/scale/papers/CUMCM-2001-A-002,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,5,1;2;3;4;5,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2001-A-003,derived/scale/papers/CUMCM-2001-A-003,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,6,1;2;3;4;5;6,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2001-A-004,derived/scale/papers/CUMCM-2001-A-004,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,6,1;2;3;4;5;6,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2001-A-005,derived/scale/papers/CUMCM-2001-A-005,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,7,1;2;3;4;5;6;7,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2001-A-006,derived/scale/papers/CUMCM-2001-A-006,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,7,1;2;3;4;5;6;7,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2001-A-007,derived/scale/papers/CUMCM-2001-A-007,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,8,1;2;3;4;5;6;7;8,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2001-A-008,derived/scale/papers/CUMCM-2001-A-008,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,5,1;2;3;4;5,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2001-A-009,derived/scale/papers/CUMCM-2001-A-009,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,6,1;2;3;4;5;6,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2001-A-010,derived/scale/papers/CUMCM-2001-A-010,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,5,1;2;3;4;5,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2001-A-011,derived/scale/papers/CUMCM-2001-A-011,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,8,1;2;3;4;5;6;7;8,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2001-A-012,derived/scale/papers/CUMCM-2001-A-012,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,6,1;2;3;4;5;6,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2001-B-001,derived/scale/papers/CUMCM-2001-B-001,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,6,1;2;3;4;5;6,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2001-B-002,derived/scale/papers/CUMCM-2001-B-002,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,8,1;2;3;4;5;6;7;8,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2001-B-003,derived/scale/papers/CUMCM-2001-B-003,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,7,1;2;3;4;5;6;7,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2001-B-004,derived/scale/papers/CUMCM-2001-B-004,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,8,1;2;3;4;5;6;7;8,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2001-B-005,derived/scale/papers/CUMCM-2001-B-005,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,6,1;2;3;4;5;6,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2001-B-006,derived/scale/papers/CUMCM-2001-B-006,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,6,1;2;3;4;5;6,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2001-B-007,derived/scale/papers/CUMCM-2001-B-007,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,8,1;2;3;4;5;6;7;8,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2001-B-008,derived/scale/papers/CUMCM-2001-B-008,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,7,1;2;3;4;5;6;7,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2001-C-001,derived/scale/papers/CUMCM-2001-C-001,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,7,1;2;3;4;5;6;7,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2001-C-002,derived/scale/papers/CUMCM-2001-C-002,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,7,1;2;3;4;5;6;7,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2001-C-003,derived/scale/papers/CUMCM-2001-C-003,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,8,1;2;3;4;5;6;7;8,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2002-A-002,derived/scale/papers/CUMCM-2002-A-002,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,10,1;2;3;4;5;6;7;8;9;10,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2002-A-003,derived/scale/papers/CUMCM-2002-A-003,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,12,1;2;3;4;5;6;7;8;9;10;11;12,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2002-A-004,derived/scale/papers/CUMCM-2002-A-004,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,5,1;2;3;4;5,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2002-A-005,derived/scale/papers/CUMCM-2002-A-005,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,9,1;2;3;4;5;6;7;8;9,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2002-A-008,derived/scale/papers/CUMCM-2002-A-008,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,3,1;2;3,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2002-A-009,derived/scale/papers/CUMCM-2002-A-009,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,6,1;2;3;4;5;6,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2002-A-011,derived/scale/papers/CUMCM-2002-A-011,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,8,1;2;3;4;5;6;7;8,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2002-A-012,derived/scale/papers/CUMCM-2002-A-012,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,7,1;2;3;4;5;6;7,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2002-B-001,derived/scale/papers/CUMCM-2002-B-001,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,7,1;2;3;4;5;6;7,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2002-B-002,derived/scale/papers/CUMCM-2002-B-002,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,10,1;2;3;4;5;6;7;8;9;10,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2002-B-003,derived/scale/papers/CUMCM-2002-B-003,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,7,1;2;3;4;5;6;7,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2002-B-004,derived/scale/papers/CUMCM-2002-B-004,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,6,1;2;3;4;5;6,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2002-B-005,derived/scale/papers/CUMCM-2002-B-005,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,7,1;2;3;4;5;6;7,0,,FORMAL_BODY_RECONSTRUCTION_SERIALIZATION,1,1,1,1,1,1,1,HIGH
CUMCM-2002-B-006,derived/scale/papers/CUMCM-2002-B-006,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,6,1;2;3;4;5;6,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2002-B-008,derived/scale/papers/CUMCM-2002-B-008,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,6,1;2;3;4;5;6,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2002-B-009,derived/scale/papers/CUMCM-2002-B-009,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,6,1;2;3;4;5;6,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2003-A-002,derived/scale/papers/CUMCM-2003-A-002,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,10,1;2;3;4;5;6;7;8;9;10,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2003-A-003,derived/scale/papers/CUMCM-2003-A-003,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,9,1;2;3;4;5;6;7;8;9,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2003-A-005,derived/scale/papers/CUMCM-2003-A-005,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,10,1;2;3;4;5;6;7;8;9;10,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2003-A-006,derived/scale/papers/CUMCM-2003-A-006,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,6,1;2;3;4;5;6,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2003-A-008,derived/scale/papers/CUMCM-2003-A-008,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,10,1;2;3;4;5;6;7;8;9;10,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2003-B-001,derived/scale/papers/CUMCM-2003-B-001,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,8,1;2;3;4;5;6;7;8,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2003-B-005,derived/scale/papers/CUMCM-2003-B-005,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,7,1;2;3;4;5;6;7,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2003-B-007,derived/scale/papers/CUMCM-2003-B-007,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,7,1;2;3;4;5;6;7,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2003-B-008,derived/scale/papers/CUMCM-2003-B-008,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,8,1;2;3;4;5;6;7;8,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2003-B-009,derived/scale/papers/CUMCM-2003-B-009,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,10,1;2;3;4;5;6;7;8;9;10,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-2003-D-001,derived/scale/papers/CUMCM-2003-D-001,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,7,1;2;3;4;5;6;7,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
