paper_id,year,problem,source_strategy,actual_format,formal_resolution_state,recommended_strategy,contract_status,supported_alternate_membership_exists,source_sha256,next_action,artifact_generated,artifact_qa,reason
CUMCM-2012-C-004,2012,C,LEGACY_DOC,OLE_COMPOUND_DOCUMENT,DOC_CONTRACT_REQUIRED,DOC_CONTRACT_REQUIRED,CONVERSION_CONTRACT_REQUIRED,0,A610CEEE3C902F85C0FC590467868550F5CB9D52ECD57E21747EF890671CBDD7,G8-DOC-CONTRACT-PILOT,0,NOT_RUN_NO_APPROVED_EXTRACTION_CONTRACT,"real binary OLE .doc confirmed; local Word presence requires an unapproved conversion contract, and no safe read-only binary DOC backend exists"
CUMCM-2012-D-001,2012,D,LEGACY_DOC,OLE_COMPOUND_DOCUMENT,DOC_CONTRACT_REQUIRED,DOC_CONTRACT_REQUIRED,CONVERSION_CONTRACT_REQUIRED,0,D93A9A6A9DE012927F8A5D4B36E1768CA3F6AFFB6952673F40FE2740D4032766,G8-DOC-CONTRACT-PILOT,0,NOT_RUN_NO_APPROVED_EXTRACTION_CONTRACT,"real binary OLE .doc confirmed; local Word presence requires an unapproved conversion contract, and no safe read-only binary DOC backend exists"
CUMCM-2012-D-D044,2012,D,LEGACY_DOC,OLE_COMPOUND_DOCUMENT,DOC_CONTRACT_REQUIRED,DOC_CONTRACT_REQUIRED,CONVERSION_CONTRACT_REQUIRED,0,999DE664600FDA9D9811FE4C50324C0C1E4BEC5A0E8BA17BC8D3B66B0D5EAB4C,G8-DOC-CONTRACT-PILOT,0,NOT_RUN_NO_APPROVED_EXTRACTION_CONTRACT,"real binary OLE .doc confirmed; local Word presence requires an unapproved conversion contract, and no safe read-only binary DOC backend exists"
CUMCM-2013-D-001,2013,D,LEGACY_DOC,OLE_COMPOUND_DOCUMENT,DOC_CONTRACT_REQUIRED,DOC_CONTRACT_REQUIRED,CONVERSION_CONTRACT_REQUIRED,0,955CC7179247EDA8AD6EBB74CFD1233D514D9F80A809B0C2EB244BEACABAFDEA,G8-DOC-CONTRACT-PILOT,0,NOT_RUN_NO_APPROVED_EXTRACTION_CONTRACT,"real binary OLE .doc confirmed; local Word presence requires an unapproved conversion contract, and no safe read-only binary DOC backend exists"
CUMCM-2013-D-004,2013,D,LEGACY_DOC,OLE_COMPOUND_DOCUMENT,DOC_CONTRACT_REQUIRED,DOC_CONTRACT_REQUIRED,CONVERSION_CONTRACT_REQUIRED,0,6BEC1C814F4638020F3DA17E90DC9EA483CAB5311CC4CA040F131629F9103ACE,G8-DOC-CONTRACT-PILOT,0,NOT_RUN_NO_APPROVED_EXTRACTION_CONTRACT,"real binary OLE .doc confirmed; local Word presence requires an unapproved conversion contract, and no safe read-only binary DOC backend exists"
CUMCM-2014-A-006,2014,A,LEGACY_DOC,OLE_COMPOUND_DOCUMENT,DOC_CONTRACT_REQUIRED,DOC_CONTRACT_REQUIRED,CONVERSION_CONTRACT_REQUIRED,0,A4C7CFEE735094C488EFB5007EF2084771748487B29765E20C39E78296A915F6,G8-DOC-CONTRACT-PILOT,0,NOT_RUN_NO_APPROVED_EXTRACTION_CONTRACT,"real binary OLE .doc confirmed; local Word presence requires an unapproved conversion contract, and no safe read-only binary DOC backend exists"
CUMCM-2014-B-001,2014,B,IMAGE_SEQUENCE,JPEG,MANUAL_UNSUPPORTED_FORMAT,IMAGE_CONTRACT_REQUIRED,REJECTED_NO_LOCAL_OCR_BACKEND,0,D9FFC1EFFC70BFACDBB9B741215EEC0032F75B47858AA84CF8D801CC64204781,G8-IMAGE-CONTRACT-PILOT,0,NOT_RUN_NO_APPROVED_EXTRACTION_CONTRACT,"image sequence is readable and deterministically mappable, but no local OCR/text backend is available"
CUMCM-2014-B-B1604,2014,B,IMAGE_SEQUENCE,JPEG,MANUAL_UNSUPPORTED_FORMAT,IMAGE_CONTRACT_REQUIRED,REJECTED_NO_LOCAL_OCR_BACKEND,0,D9FFC1EFFC70BFACDBB9B741215EEC0032F75B47858AA84CF8D801CC64204781,G8-IMAGE-CONTRACT-PILOT,0,NOT_RUN_NO_APPROVED_EXTRACTION_CONTRACT,"image sequence is readable and deterministically mappable, but no local OCR/text backend is available"
CUMCM-2014-D-002,2014,D,LEGACY_DOC,OLE_COMPOUND_DOCUMENT,DOC_CONTRACT_REQUIRED,DOC_CONTRACT_REQUIRED,CONVERSION_CONTRACT_REQUIRED,0,0F96568C1507DC18820F68592A9A6DA83C3FE6842CF007A17567C219BEBA841E,G8-DOC-CONTRACT-PILOT,0,NOT_RUN_NO_APPROVED_EXTRACTION_CONTRACT,"real binary OLE .doc confirmed; local Word presence requires an unapproved conversion contract, and no safe read-only binary DOC backend exists"
CUMCM-2014-D-003,2014,D,LEGACY_DOC,OLE_COMPOUND_DOCUMENT,DOC_CONTRACT_REQUIRED,DOC_CONTRACT_REQUIRED,CONVERSION_CONTRACT_REQUIRED,0,2C45B7888C43355B39D0BC01726D842D4744C55DC1E2F8AF829B7DB9D8D4AA35,G8-DOC-CONTRACT-PILOT,0,NOT_RUN_NO_APPROVED_EXTRACTION_CONTRACT,"real binary OLE .doc confirmed; local Word presence requires an unapproved conversion contract, and no safe read-only binary DOC backend exists"
CUMCM-2021-A-A028,2021,A,IMAGE_SEQUENCE,JPEG,MANUAL_UNSUPPORTED_FORMAT,IMAGE_CONTRACT_REQUIRED,REJECTED_NO_LOCAL_OCR_BACKEND,0,339F0E41B101537C5DFAE8A0BA9ECAA434948D8791724C671091E4DFAA7C1A27,G8-IMAGE-CONTRACT-PILOT,0,NOT_RUN_NO_APPROVED_EXTRACTION_CONTRACT,"image sequence is readable and deterministically mappable, but no local OCR/text backend is available"
CUMCM-2021-A-A115,2021,A,IMAGE_SEQUENCE,JPEG,MANUAL_UNSUPPORTED_FORMAT,IMAGE_CONTRACT_REQUIRED,REJECTED_NO_LOCAL_OCR_BACKEND,0,C4CCFAC9EAC03AD8B833E2E595A23E9F1A7EA0CBBF68A94205035C3A1CCF6B3D,G8-IMAGE-CONTRACT-PILOT,0,NOT_RUN_NO_APPROVED_EXTRACTION_CONTRACT,"image sequence is readable and deterministically mappable, but no local OCR/text backend is available"
CUMCM-2021-A-A217,2021,A,IMAGE_SEQUENCE,JPEG,MANUAL_UNSUPPORTED_FORMAT,IMAGE_CONTRACT_REQUIRED,REJECTED_NO_LOCAL_OCR_BACKEND,0,161768AEB1E9D258E31A46F476DE676A22F57AE9AEA27978BA88DCB20CAC22D5,G8-IMAGE-CONTRACT-PILOT,0,NOT_RUN_NO_APPROVED_EXTRACTION_CONTRACT,"image sequence is readable and deterministically mappable, but no local OCR/text backend is available"
CUMCM-2021-B-B007,2021,B,IMAGE_SEQUENCE,JPEG,MANUAL_UNSUPPORTED_FORMAT,IMAGE_CONTRACT_REQUIRED,REJECTED_NO_LOCAL_OCR_BACKEND,0,C687EC4B8F274A3F2DD3D8DBDD4E93160FB869317A39769921949FD1D739CC28,G8-IMAGE-CONTRACT-PILOT,0,NOT_RUN_NO_APPROVED_EXTRACTION_CONTRACT,"image sequence is readable and deterministically mappable, but no local OCR/text backend is available"
CUMCM-2021-B-B026,2021,B,IMAGE_SEQUENCE,JPEG,MANUAL_UNSUPPORTED_FORMAT,IMAGE_CONTRACT_REQUIRED,REJECTED_NO_LOCAL_OCR_BACKEND,0,DCBBF4C7A13F3AED3BCB8815EF93EC3B6DEA5392AC4C2482D2BCA25310DAB906,G8-IMAGE-CONTRACT-PILOT,0,NOT_RUN_NO_APPROVED_EXTRACTION_CONTRACT,"image sequence is readable and deterministically mappable, but no local OCR/text backend is available"
CUMCM-2021-B-B050,2021,B,IMAGE_SEQUENCE,JPEG,MANUAL_UNSUPPORTED_FORMAT,IMAGE_CONTRACT_REQUIRED,REJECTED_NO_LOCAL_OCR_BACKEND,0,C6BE943BF780B63CEB6604428FDA51945F454F1043F8D8CD0C9B755A938D8C17,G8-IMAGE-CONTRACT-PILOT,0,NOT_RUN_NO_APPROVED_EXTRACTION_CONTRACT,"image sequence is readable and deterministically mappable, but no local OCR/text backend is available"
CUMCM-2021-B-B106,2021,B,IMAGE_SEQUENCE,JPEG,MANUAL_UNSUPPORTED_FORMAT,IMAGE_CONTRACT_REQUIRED,REJECTED_NO_LOCAL_OCR_BACKEND,0,C2006CC92DDDA31601271F31FAC56DC2C53D04B5A30215E7B08A0555DED45718,G8-IMAGE-CONTRACT-PILOT,0,NOT_RUN_NO_APPROVED_EXTRACTION_CONTRACT,"image sequence is readable and deterministically mappable, but no local OCR/text backend is available"
CUMCM-2021-C-C066,2021,C,IMAGE_SEQUENCE,JPEG,MANUAL_UNSUPPORTED_FORMAT,IMAGE_CONTRACT_REQUIRED,REJECTED_NO_LOCAL_OCR_BACKEND,0,1CF669C857E11FD25958DCA7954A9C5F1A4F616DAFB6FD44E6275C73FA4CFCF3,G8-IMAGE-CONTRACT-PILOT,0,NOT_RUN_NO_APPROVED_EXTRACTION_CONTRACT,"image sequence is readable and deterministically mappable, but no local OCR/text backend is available"
CUMCM-2021-C-C085,2021,C,IMAGE_SEQUENCE,JPEG,MANUAL_UNSUPPORTED_FORMAT,IMAGE_CONTRACT_REQUIRED,REJECTED_NO_LOCAL_OCR_BACKEND,0,24D7E77815731CDAD56457C691FB63EFD8A1ABD70A15FF6E9519549B6C008449,G8-IMAGE-CONTRACT-PILOT,0,NOT_RUN_NO_APPROVED_EXTRACTION_CONTRACT,"image sequence is readable and deterministically mappable, but no local OCR/text backend is available"
CUMCM-2021-C-C169,2021,C,IMAGE_SEQUENCE,JPEG,MANUAL_UNSUPPORTED_FORMAT,IMAGE_CONTRACT_REQUIRED,REJECTED_NO_LOCAL_OCR_BACKEND,0,733C555ACDE12B8E8FEAA88A1AEFE199E696DB16BF0C565C58D25D2AD3FBCD8D,G8-IMAGE-CONTRACT-PILOT,0,NOT_RUN_NO_APPROVED_EXTRACTION_CONTRACT,"image sequence is readable and deterministically mappable, but no local OCR/text backend is available"
CUMCM-2021-C-C283,2021,C,IMAGE_SEQUENCE,JPEG,MANUAL_UNSUPPORTED_FORMAT,IMAGE_CONTRACT_REQUIRED,REJECTED_NO_LOCAL_OCR_BACKEND,0,493F17CAAB4B2B076420C0FCB179CFAAE3A95E1F41E967F6F3827BD22C5F6BE4,G8-IMAGE-CONTRACT-PILOT,0,NOT_RUN_NO_APPROVED_EXTRACTION_CONTRACT,"image sequence is readable and deterministically mappable, but no local OCR/text backend is available"
CUMCM-2021-D-D017,2021,D,IMAGE_SEQUENCE,JPEG,MANUAL_UNSUPPORTED_FORMAT,IMAGE_CONTRACT_REQUIRED,REJECTED_NO_LOCAL_OCR_BACKEND,0,ACA3B9486DC296F9380F9EF3E657C5DE2C718F62388AA96B89C70A457567DAA9,G8-IMAGE-CONTRACT-PILOT,0,NOT_RUN_NO_APPROVED_EXTRACTION_CONTRACT,"image sequence is readable and deterministically mappable, but no local OCR/text backend is available"
CUMCM-2021-D-D026,2021,D,IMAGE_SEQUENCE,JPEG,MANUAL_UNSUPPORTED_FORMAT,IMAGE_CONTRACT_REQUIRED,REJECTED_NO_LOCAL_OCR_BACKEND,0,BFD4A4CE494B06AF94DC8A19AC4FA2F58008238292B37643045C05CDD01D4BD8,G8-IMAGE-CONTRACT-PILOT,0,NOT_RUN_NO_APPROVED_EXTRACTION_CONTRACT,"image sequence is readable and deterministically mappable, but no local OCR/text backend is available"
CUMCM-2021-D-D034,2021,D,IMAGE_SEQUENCE,JPEG,MANUAL_UNSUPPORTED_FORMAT,IMAGE_CONTRACT_REQUIRED,REJECTED_NO_LOCAL_OCR_BACKEND,0,E4B7ADA72E78AED02A11012DF408685A1658D47BDC9B4623A7BC239EAC20EBA0,G8-IMAGE-CONTRACT-PILOT,0,NOT_RUN_NO_APPROVED_EXTRACTION_CONTRACT,"image sequence is readable and deterministically mappable, but no local OCR/text backend is available"
CUMCM-2021-E-E014,2021,E,IMAGE_SEQUENCE,JPEG,MANUAL_UNSUPPORTED_FORMAT,IMAGE_CONTRACT_REQUIRED,REJECTED_NO_LOCAL_OCR_BACKEND,0,5CD1E5B933E7BB2238C3CD4A48ADF250527F674AFB2F0DBC1263388519E615CE,G8-IMAGE-CONTRACT-PILOT,0,NOT_RUN_NO_APPROVED_EXTRACTION_CONTRACT,"image sequence is readable and deterministically mappable, but no local OCR/text backend is available"
CUMCM-2021-E-E025,2021,E,IMAGE_SEQUENCE,JPEG,MANUAL_UNSUPPORTED_FORMAT,IMAGE_CONTRACT_REQUIRED,REJECTED_NO_LOCAL_OCR_BACKEND,0,AA8D7B9FAD876342DB9A929AC349DD1C7C14C9AAB9508C2D655A4A8B95559692,G8-IMAGE-CONTRACT-PILOT,0,NOT_RUN_NO_APPROVED_EXTRACTION_CONTRACT,"image sequence is readable and deterministically mappable, but no local OCR/text backend is available"
CUMCM-2021-E-E037,2021,E,IMAGE_SEQUENCE,JPEG,MANUAL_UNSUPPORTED_FORMAT,IMAGE_CONTRACT_REQUIRED,REJECTED_NO_LOCAL_OCR_BACKEND,0,17AFC86E098AD0A88D6C75DC699EC70FD5C5848C68CBDB492F970D3DECBBFE27,G8-IMAGE-CONTRACT-PILOT,0,NOT_RUN_NO_APPROVED_EXTRACTION_CONTRACT,"image sequence is readable and deterministically mappable, but no local OCR/text backend is available"
CUMCM-2022-C-C229,2022,C,IMAGE_SEQUENCE,JPEG,MANUAL_UNSUPPORTED_FORMAT,IMAGE_CONTRACT_REQUIRED,REJECTED_NO_LOCAL_OCR_BACKEND,0,91A05808CCE3A469785B84B91F738760A6A40CECE36A099CE98E034F29E2FF1F,G8-IMAGE-CONTRACT-PILOT,0,NOT_RUN_NO_APPROVED_EXTRACTION_CONTRACT,"image sequence is readable and deterministically mappable, but no local OCR/text backend is available"
CUMCM-2022-E-E014,2022,E,IMAGE_SEQUENCE,JPEG,MANUAL_UNSUPPORTED_FORMAT,IMAGE_CONTRACT_REQUIRED,REJECTED_NO_LOCAL_OCR_BACKEND,0,DFA068914E29070A744E23D89E0A2AF25027025A945BF5B8F9C04756FB00EAA8,G8-IMAGE-CONTRACT-PILOT,0,NOT_RUN_NO_APPROVED_EXTRACTION_CONTRACT,"image sequence is readable and deterministically mappable, but no local OCR/text backend is available"
