paper_id,year,subject_type,artifact_eligible,quality,extraction_status,artifact_status,qa_status,deferred_reason,overall_status
CUMCM-1998-B-001,1998,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-1998-B-002,1998,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-1998-B-003,1998,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-1998-B-004,1998,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-1998-B-005,1998,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-1998-B-006,1998,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-1998-B-007,1998,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-1999-A-001,1999,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-1999-A-002,1999,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-1999-A-003,1999,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-1999-A-004,1999,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-1999-A-005,1999,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-1999-A-006,1999,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-1999-A-007,1999,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-1999-A-008,1999,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-1999-B-001,1999,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-1999-B-002,1999,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-1999-B-003,1999,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-1999-B-004,1999,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-1999-B-005,1999,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-1999-C-001,1999,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-1999-C-002,1999,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-1999-C-003,1999,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2000-A-001,2000,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2000-A-002,2000,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2000-A-003,2000,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2000-A-004,2000,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2000-A-005,2000,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2000-A-006,2000,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2000-B-001,2000,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2000-B-002,2000,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2000-B-003,2000,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2000-B-004,2000,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2000-B-005,2000,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2000-B-006,2000,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2000-B-007,2000,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2000-B-008,2000,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2000-C-001,2000,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2000-C-002,2000,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2000-C-003,2000,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2000-C-004,2000,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2000-D-001,2000,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2000-D-002,2000,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2000-D-003,2000,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2001-A-001,2001,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2001-A-002,2001,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2001-A-003,2001,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2001-A-004,2001,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2001-A-005,2001,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2001-A-006,2001,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2001-A-007,2001,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2001-A-008,2001,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2001-A-009,2001,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2001-A-010,2001,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2001-A-011,2001,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2001-A-012,2001,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2001-B-001,2001,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2001-B-002,2001,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2001-B-003,2001,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2001-B-004,2001,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2001-B-005,2001,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2001-B-006,2001,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2001-B-007,2001,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2001-B-008,2001,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2001-B-009,2001,PROBLEM_PACKAGE,0,,NOT_APPLICABLE,NOT_APPLICABLE,PASS,,INELIGIBLE
CUMCM-2001-C-001,2001,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2001-C-002,2001,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2001-C-003,2001,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2001-D-001,2001,PROBLEM_PACKAGE,0,,NOT_APPLICABLE,NOT_APPLICABLE,PASS,,INELIGIBLE
CUMCM-2002-A-001,2002,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-2002-A-002,2002,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2002-A-003,2002,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2002-A-004,2002,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2002-A-005,2002,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2002-A-006,2002,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-2002-A-007,2002,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-2002-A-008,2002,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2002-A-009,2002,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2002-A-010,2002,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-2002-A-011,2002,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2002-A-012,2002,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2002-A-013,2002,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-2002-A-014,2002,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-2002-A-015,2002,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-2002-B-001,2002,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2002-B-002,2002,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2002-B-003,2002,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2002-B-004,2002,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2002-B-005,2002,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2002-B-006,2002,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2002-B-007,2002,PROBLEM_PACKAGE,0,,NOT_APPLICABLE,NOT_APPLICABLE,PASS,,INELIGIBLE
CUMCM-2002-B-008,2002,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2002-B-009,2002,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2002-D-001,2002,PROBLEM_PACKAGE,0,,NOT_APPLICABLE,NOT_APPLICABLE,PASS,,INELIGIBLE
CUMCM-2003-A-001,2003,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-2003-A-002,2003,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2003-A-003,2003,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2003-A-004,2003,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-2003-A-005,2003,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2003-A-006,2003,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2003-A-007,2003,PROBLEM_PACKAGE,0,,NOT_APPLICABLE,NOT_APPLICABLE,PASS,,INELIGIBLE
CUMCM-2003-A-008,2003,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2003-A-009,2003,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-2003-A-010,2003,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-2003-B-001,2003,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2003-B-002,2003,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-2003-B-003,2003,PROBLEM_PACKAGE,0,,NOT_APPLICABLE,NOT_APPLICABLE,PASS,,INELIGIBLE
CUMCM-2003-B-004,2003,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-2003-B-005,2003,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2003-B-006,2003,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-2003-B-007,2003,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2003-B-008,2003,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2003-B-009,2003,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2003-B-010,2003,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-2003-B-011,2003,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-2003-C-001,2003,PROBLEM_PACKAGE,0,,NOT_APPLICABLE,NOT_APPLICABLE,PASS,,INELIGIBLE
CUMCM-2003-D-001,2003,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2003-D-002,2003,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2003-D-003,2003,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2003-D-004,2003,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2003-D-005,2003,PROBLEM_PACKAGE,0,,NOT_APPLICABLE,NOT_APPLICABLE,PASS,,INELIGIBLE
CUMCM-2004-A-001,2004,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-2004-A-002,2004,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-2004-A-003,2004,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-2004-A-004,2004,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-2004-A-005,2004,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-2004-A-006,2004,PROBLEM_PACKAGE,0,,NOT_APPLICABLE,NOT_APPLICABLE,PASS,,INELIGIBLE
CUMCM-2004-A-007,2004,PROBLEM_PACKAGE,0,,NOT_APPLICABLE,NOT_APPLICABLE,PASS,,INELIGIBLE
CUMCM-2004-B-001,2004,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2004-B-002,2004,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-2004-B-003,2004,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-2004-B-004,2004,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-2004-B-005,2004,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-2004-B-006,2004,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-2004-B-007,2004,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-2004-B-008,2004,PROBLEM_PACKAGE,0,,NOT_APPLICABLE,NOT_APPLICABLE,PASS,,INELIGIBLE
CUMCM-2004-C-001,2004,PROBLEM_PACKAGE,0,,NOT_APPLICABLE,NOT_APPLICABLE,PASS,,INELIGIBLE
CUMCM-2004-D-001,2004,PROBLEM_PACKAGE,0,,NOT_APPLICABLE,NOT_APPLICABLE,PASS,,INELIGIBLE
CUMCM-2005-A-001,2005,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2005-A-002,2005,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2005-A-003,2005,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2005-A-004,2005,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2005-A-005,2005,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2005-A-006,2005,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2005-A-007,2005,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2005-A-008,2005,PROBLEM_PACKAGE,0,,NOT_APPLICABLE,NOT_APPLICABLE,PASS,,INELIGIBLE
CUMCM-2005-B-001,2005,PROBLEM_PACKAGE,0,,NOT_APPLICABLE,NOT_APPLICABLE,PASS,,INELIGIBLE
CUMCM-2005-B-002,2005,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2005-B-003,2005,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2005-B-004,2005,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2005-B-005,2005,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2005-B-006,2005,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2005-B-007,2005,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2005-C-001,2005,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2005-C-002,2005,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2005-C-003,2005,PROBLEM_PACKAGE,0,,NOT_APPLICABLE,NOT_APPLICABLE,PASS,,INELIGIBLE
CUMCM-2005-C-004,2005,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2005-C-005,2005,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2005-C-006,2005,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2005-D-001,2005,PROBLEM_PACKAGE,0,,NOT_APPLICABLE,NOT_APPLICABLE,PASS,,INELIGIBLE
CUMCM-2006-A-001,2006,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2006-A-002,2006,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2006-A-003,2006,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2006-A-004,2006,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2006-A-005,2006,PROBLEM_PACKAGE,0,,NOT_APPLICABLE,NOT_APPLICABLE,PASS,,INELIGIBLE
CUMCM-2006-A-006,2006,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2006-A-007,2006,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2006-B-001,2006,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2006-B-002,2006,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2006-B-003,2006,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2006-B-004,2006,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2006-B-005,2006,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2006-B-006,2006,PROBLEM_PACKAGE,0,,NOT_APPLICABLE,NOT_APPLICABLE,PASS,,INELIGIBLE
CUMCM-2006-C-001,2006,PROBLEM_PACKAGE,0,,NOT_APPLICABLE,NOT_APPLICABLE,PASS,,INELIGIBLE
CUMCM-2006-D-001,2006,PROBLEM_PACKAGE,0,,NOT_APPLICABLE,NOT_APPLICABLE,PASS,,INELIGIBLE
CUMCM-2007-A-001,2007,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2007-A-002,2007,PROBLEM_PACKAGE,0,,NOT_APPLICABLE,NOT_APPLICABLE,PASS,,INELIGIBLE
CUMCM-2007-A-003,2007,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2007-A-004,2007,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2007-A-005,2007,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-2007-A-006,2007,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2007-A-007,2007,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2007-A-008,2007,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-2007-A-009,2007,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-2007-A-010,2007,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2007-A-011,2007,PROBLEM_PACKAGE,0,,NOT_APPLICABLE,NOT_APPLICABLE,PASS,,INELIGIBLE
CUMCM-2007-A-012,2007,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-2007-A-013,2007,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2007-A-014,2007,PROBLEM_PACKAGE,0,,NOT_APPLICABLE,NOT_APPLICABLE,PASS,,INELIGIBLE
CUMCM-2007-A-015,2007,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-2007-B-001,2007,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2007-B-002,2007,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2007-B-003,2007,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2007-B-004,2007,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2007-B-005,2007,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-2007-B-006,2007,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2007-B-007,2007,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-2007-B-008,2007,PROBLEM_PACKAGE,0,,NOT_APPLICABLE,NOT_APPLICABLE,PASS,,INELIGIBLE
CUMCM-2007-B-009,2007,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2007-B-010,2007,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-2007-B-011,2007,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2007-B-012,2007,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2007-C-001,2007,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-2007-C-002,2007,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-2007-C-003,2007,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-2007-C-004,2007,PROBLEM_PACKAGE,0,,NOT_APPLICABLE,NOT_APPLICABLE,PASS,,INELIGIBLE
CUMCM-2007-D-001,2007,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-2007-D-002,2007,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-2007-D-003,2007,PROBLEM_PACKAGE,0,,NOT_APPLICABLE,NOT_APPLICABLE,PASS,,INELIGIBLE
CUMCM-2008-A-001,2008,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-2008-A-002,2008,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2008-A-003,2008,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2008-A-004,2008,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2008-A-005,2008,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-2008-A-006,2008,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-2008-A-007,2008,PROBLEM_PACKAGE,0,,NOT_APPLICABLE,NOT_APPLICABLE,PASS,,INELIGIBLE
CUMCM-2008-A-008,2008,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2008-A-009,2008,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-2008-B-001,2008,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
