paper_id,year,problem,subject_type,artifact_eligible,primary_file,primary_extension,primary_signature,member_file_count,member_files,member_extensions,source_strategy,supported_alternate_membership_exists,supported_alternate_path,existing_local_backend,new_backend_required,conversion_required,recommended_strategy,current_manual_reason,next_action
CUMCM-2012-C-004,2012,C,PAPER,UNRESOLVED,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012C：脑卒中发病环境因素分析及干预 (1)/基于逐步回归的脑卒中发病环境因素分析及干预模型.doc,.doc,OLE_COMPOUND_DOCUMENT,1,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012C：脑卒中发病环境因素分析及干预 (1)/基于逐步回归的脑卒中发病环境因素分析及干预模型.doc,.doc,LEGACY_DOC,0,,none,1,1,DOC_CONTRACT_REQUIRED,"real binary OLE .doc confirmed; local Word presence requires an unapproved conversion contract, and no safe read-only binary DOC backend exists",G8-DOC-CONTRACT-PILOT
CUMCM-2012-D-001,2012,D,PAPER,UNRESOLVED,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012D：机器人避障问题 (2).doc,.doc,OLE_COMPOUND_DOCUMENT,1,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012D：机器人避障问题 (2).doc,.doc,LEGACY_DOC,0,,none,1,1,DOC_CONTRACT_REQUIRED,"real binary OLE .doc confirmed; local Word presence requires an unapproved conversion contract, and no safe read-only binary DOC backend exists",G8-DOC-CONTRACT-PILOT
CUMCM-2012-D-D044,2012,D,PAPER,UNRESOLVED,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012D：机器人避障问题 (1)/D044.doc,.doc,OLE_COMPOUND_DOCUMENT,1,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012D：机器人避障问题 (1)/D044.doc,.doc,LEGACY_DOC,0,,none,1,1,DOC_CONTRACT_REQUIRED,"real binary OLE .doc confirmed; local Word presence requires an unapproved conversion contract, and no safe read-only binary DOC backend exists",G8-DOC-CONTRACT-PILOT
CUMCM-2013-D-001,2013,D,PAPER,UNRESOLVED,2013年数学建模国赛真题+优秀论文/2013D：城市公共自行车服务系统运行状况和效率分析/论文.doc,.doc,OLE_COMPOUND_DOCUMENT,1,2013年数学建模国赛真题+优秀论文/2013D：城市公共自行车服务系统运行状况和效率分析/论文.doc,.doc,LEGACY_DOC,0,,none,1,1,DOC_CONTRACT_REQUIRED,"real binary OLE .doc confirmed; local Word presence requires an unapproved conversion contract, and no safe read-only binary DOC backend exists",G8-DOC-CONTRACT-PILOT
CUMCM-2013-D-004,2013,D,PAPER,UNRESOLVED,2013年数学建模国赛真题+优秀论文/2013D：城市公共自行车服务系统运行状况和效率分析 (2)/赣南师范学院科技学院 D 赖铖、袁彦、舒敏.doc,.doc,OLE_COMPOUND_DOCUMENT,1,2013年数学建模国赛真题+优秀论文/2013D：城市公共自行车服务系统运行状况和效率分析 (2)/赣南师范学院科技学院 D 赖铖、袁彦、舒敏.doc,.doc,LEGACY_DOC,0,,none,1,1,DOC_CONTRACT_REQUIRED,"real binary OLE .doc confirmed; local Word presence requires an unapproved conversion contract, and no safe read-only binary DOC backend exists",G8-DOC-CONTRACT-PILOT
CUMCM-2014-A-006,2014,A,PAPER,UNRESOLVED,2014年数学建模国赛真题+优秀论文/2014优秀论文/2014A：嫦娥三号软着陆轨道设计与控制策略 (3)/关于椭圆参数的计算.doc,.doc,OLE_COMPOUND_DOCUMENT,1,2014年数学建模国赛真题+优秀论文/2014优秀论文/2014A：嫦娥三号软着陆轨道设计与控制策略 (3)/关于椭圆参数的计算.doc,.doc,LEGACY_DOC,0,,none,1,1,DOC_CONTRACT_REQUIRED,"real binary OLE .doc confirmed; local Word presence requires an unapproved conversion contract, and no safe read-only binary DOC backend exists",G8-DOC-CONTRACT-PILOT
CUMCM-2014-B-001,2014,B,PAPER,UNRESOLVED,2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/w1-1-1.jpg;2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/w1-1.jpg;2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/w1_2.jpg;2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/w2.jpg;2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/w3_1.jpg;2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/w3_2.jpg;2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/w3_3.jpg;2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/w3_4.jpg,.jpg,JPEG,8,2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/w1-1-1.jpg;2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/w1-1.jpg;2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/w1_2.jpg;2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/w2.jpg;2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/w3_1.jpg;2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/w3_2.jpg;2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/w3_3.jpg;2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/w3_4.jpg,.jpg;.jpg;.jpg;.jpg;.jpg;.jpg;.jpg;.jpg,IMAGE_SEQUENCE,0,,Pillow 12.3.0,1,0,IMAGE_CONTRACT_REQUIRED,"image sequence is readable and deterministically mappable, but no local OCR/text backend is available",G8-IMAGE-CONTRACT-PILOT
CUMCM-2014-B-B1604,2014,B,PAPER,UNRESOLVED,2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/B16046004_程双泽_李君昌_陈凌勤/w1-1-1.jpg;2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/B16046004_程双泽_李君昌_陈凌勤/w1-1.jpg;2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/B16046004_程双泽_李君昌_陈凌勤/w1_2.jpg;2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/B16046004_程双泽_李君昌_陈凌勤/w2.jpg;2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/B16046004_程双泽_李君昌_陈凌勤/w3_1.jpg;2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/B16046004_程双泽_李君昌_陈凌勤/w3_2.jpg;2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/B16046004_程双泽_李君昌_陈凌勤/w3_3.jpg;2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/B16046004_程双泽_李君昌_陈凌勤/w3_4.jpg,.jpg,JPEG,8,2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/B16046004_程双泽_李君昌_陈凌勤/w1-1-1.jpg;2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/B16046004_程双泽_李君昌_陈凌勤/w1-1.jpg;2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/B16046004_程双泽_李君昌_陈凌勤/w1_2.jpg;2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/B16046004_程双泽_李君昌_陈凌勤/w2.jpg;2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/B16046004_程双泽_李君昌_陈凌勤/w3_1.jpg;2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/B16046004_程双泽_李君昌_陈凌勤/w3_2.jpg;2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/B16046004_程双泽_李君昌_陈凌勤/w3_3.jpg;2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/B16046004_程双泽_李君昌_陈凌勤/w3_4.jpg,.jpg;.jpg;.jpg;.jpg;.jpg;.jpg;.jpg;.jpg,IMAGE_SEQUENCE,0,,Pillow 12.3.0,1,0,IMAGE_CONTRACT_REQUIRED,"image sequence is readable and deterministically mappable, but no local OCR/text backend is available",G8-IMAGE-CONTRACT-PILOT
CUMCM-2014-D-002,2014,D,PAPER,UNRESOLVED,2014年数学建模国赛真题+优秀论文/2014优秀论文/2014D：储药槽的设计 (2)/储药柜的设计.doc,.doc,OLE_COMPOUND_DOCUMENT,1,2014年数学建模国赛真题+优秀论文/2014优秀论文/2014D：储药槽的设计 (2)/储药柜的设计.doc,.doc,LEGACY_DOC,0,,none,1,1,DOC_CONTRACT_REQUIRED,"real binary OLE .doc confirmed; local Word presence requires an unapproved conversion contract, and no safe read-only binary DOC backend exists",G8-DOC-CONTRACT-PILOT
CUMCM-2014-D-003,2014,D,PAPER,UNRESOLVED,2014年数学建模国赛真题+优秀论文/2014优秀论文/2014D：储药槽的设计/D-储药槽的设计.doc,.doc,OLE_COMPOUND_DOCUMENT,1,2014年数学建模国赛真题+优秀论文/2014优秀论文/2014D：储药槽的设计/D-储药槽的设计.doc,.doc,LEGACY_DOC,0,,none,1,1,DOC_CONTRACT_REQUIRED,"real binary OLE .doc confirmed; local Word presence requires an unapproved conversion contract, and no safe read-only binary DOC backend exists",G8-DOC-CONTRACT-PILOT
CUMCM-2021-A-A028,2021,A,PAPER,UNRESOLVED,2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A1.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A10.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A11.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A12.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A13.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A14.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A15.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A16.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A17.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A18.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A19.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A2.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A20.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A21.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A22.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A23.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A24.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A25.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A26.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A27.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A28.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A29.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A3.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A30.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A31.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A32.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A33.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A34.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A35.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A36.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A37.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A38.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A4.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A5.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A6.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A7.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A8.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A9.jpg,.jpg,JPEG,38,2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A1.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A10.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A11.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A12.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A13.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A14.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A15.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A16.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A17.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A18.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A19.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A2.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A20.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A21.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A22.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A23.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A24.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A25.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A26.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A27.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A28.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A29.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A3.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A30.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A31.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A32.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A33.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A34.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A35.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A36.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A37.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A38.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A4.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A5.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A6.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A7.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A8.jpg;2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A9.jpg,.jpg;.jpg;.jpg;.jpg;.jpg;.jpg;.jpg;.jpg;.jpg;.jpg;.jpg;.jpg;.jpg;.jpg;.jpg;.jpg;.jpg;.jpg;.jpg;.jpg;.jpg;.jpg;.jpg;.jpg;.jpg;.jpg;.jpg;.jpg;.jpg;.jpg;.jpg;.jpg;.jpg;.jpg;.jpg;.jpg;.jpg;.jpg,IMAGE_SEQUENCE,0,,Pillow 12.3.0,1,0,IMAGE_CONTRACT_REQUIRED,"image sequence is readable and deterministically mappable, but no local OCR/text backend is available",G8-IMAGE-CONTRACT-PILOT
