"paper_id","artifact_set_id","source_route","confirmed_defective_page_count","confirmed_defective_pages","legitimate_noncontent_page_count","unresolved_page_count","repair_layer","requires_extraction","requires_ocr","requires_reconstruction","requires_artifact_repromotion","requires_index_refresh","requires_g10_revalidation","human_rereview_required","scope_confidence","route_group","scope_note"
"CUMCM-1999-C-001","derived/scale/papers/CUMCM-1999-C-001","PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md","3","1,4,7","0","4","FORMAL_BODY_RECONSTRUCTION_SERIALIZATION","1","0","1","1","1","1","1","HIGH","Q0_NATIVE_MARKDOWN_TO_FORMAL_SERIALIZATION","Only confirmed defective page scope is authoritative; residual unresolved pages remain outside the repair scope."
"CUMCM-2000-A-005","derived/scale/papers/CUMCM-2000-A-005","PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md","3","1,5,9","0","6","FORMAL_BODY_RECONSTRUCTION_SERIALIZATION","1","0","1","1","1","1","1","HIGH","DOC_ARTIFACT_RECONSTRUCTION","Only confirmed defective page scope is authoritative; residual unresolved pages remain outside the repair scope."
"CUMCM-2000-D-002","derived/scale/papers/CUMCM-2000-D-002","PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md","3","1,2,3","0","0","FORMAL_BODY_RECONSTRUCTION_SERIALIZATION","1","0","1","1","1","1","1","HIGH","Q0_NATIVE_MARKDOWN_TO_FORMAL_SERIALIZATION","All marker-only pages for this identity are currently confirmed defective."
"CUMCM-2001-A-001","derived/scale/papers/CUMCM-2001-A-001","PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md","3","1,3,6","0","3","FORMAL_BODY_RECONSTRUCTION_SERIALIZATION","1","0","1","1","1","1","1","HIGH","DOC_ARTIFACT_RECONSTRUCTION","Only confirmed defective page scope is authoritative; residual unresolved pages remain outside the repair scope."
"CUMCM-2001-A-002","derived/scale/papers/CUMCM-2001-A-002","PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md","3","1,3,5","0","2","FORMAL_BODY_RECONSTRUCTION_SERIALIZATION","1","0","1","1","1","1","1","HIGH","Q0_NATIVE_MARKDOWN_TO_FORMAL_SERIALIZATION","Only confirmed defective page scope is authoritative; residual unresolved pages remain outside the repair scope."
"CUMCM-2002-A-002","derived/scale/papers/CUMCM-2002-A-002","PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md","3","1,5,10","0","7","FORMAL_BODY_RECONSTRUCTION_SERIALIZATION","1","0","1","1","1","1","1","HIGH","Q0_NATIVE_MARKDOWN_TO_FORMAL_SERIALIZATION","Only confirmed defective page scope is authoritative; residual unresolved pages remain outside the repair scope."
"CUMCM-2002-B-005","derived/scale/papers/CUMCM-2002-B-005","PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md","3","1,4,7","0","4","FORMAL_BODY_RECONSTRUCTION_SERIALIZATION","1","0","1","1","1","1","1","HIGH","DOC_ARTIFACT_RECONSTRUCTION","Only confirmed defective page scope is authoritative; residual unresolved pages remain outside the repair scope."
"CUMCM-2003-A-002","derived/scale/papers/CUMCM-2003-A-002","PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md","3","1,5,10","0","7","FORMAL_BODY_RECONSTRUCTION_SERIALIZATION","1","0","1","1","1","1","1","HIGH","Q0_NATIVE_MARKDOWN_TO_FORMAL_SERIALIZATION","Only confirmed defective page scope is authoritative; residual unresolved pages remain outside the repair scope."
"CUMCM-2004-B-001","derived/scale/papers/CUMCM-2004-B-001","PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md","3","1,7,14","0","11","FORMAL_BODY_RECONSTRUCTION_SERIALIZATION","1","0","1","1","1","1","1","HIGH","Q0_NATIVE_MARKDOWN_TO_FORMAL_SERIALIZATION","Only confirmed defective page scope is authoritative; residual unresolved pages remain outside the repair scope."
"CUMCM-2005-A-001","derived/scale/papers/CUMCM-2005-A-001","PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md","3","1,6,11","0","8","FORMAL_BODY_RECONSTRUCTION_SERIALIZATION","1","0","1","1","1","1","1","HIGH","Q0_NATIVE_MARKDOWN_TO_FORMAL_SERIALIZATION","Only confirmed defective page scope is authoritative; residual unresolved pages remain outside the repair scope."
"CUMCM-2006-A-001","derived/scale/papers/CUMCM-2006-A-001","PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md","3","1,9,17","0","14","FORMAL_BODY_RECONSTRUCTION_SERIALIZATION","1","0","1","1","1","1","1","HIGH","Q0_NATIVE_MARKDOWN_TO_FORMAL_SERIALIZATION","Only confirmed defective page scope is authoritative; residual unresolved pages remain outside the repair scope."
"CUMCM-2007-A-001","derived/scale/papers/CUMCM-2007-A-001","PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md","3","1,12,24","0","21","FORMAL_BODY_RECONSTRUCTION_SERIALIZATION","1","0","1","1","1","1","1","HIGH","Q0_NATIVE_MARKDOWN_TO_FORMAL_SERIALIZATION","Only confirmed defective page scope is authoritative; residual unresolved pages remain outside the repair scope."
"CUMCM-2008-A-002","derived/scale/papers/CUMCM-2008-A-002","PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md","3","1,14,27","0","24","FORMAL_BODY_RECONSTRUCTION_SERIALIZATION","1","0","1","1","1","1","1","HIGH","Q0_NATIVE_MARKDOWN_TO_FORMAL_SERIALIZATION","Only confirmed defective page scope is authoritative; residual unresolved pages remain outside the repair scope."
"CUMCM-2008-C-004","derived/scale/papers/CUMCM-2008-C-004","PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md","3","1,7,14","0","11","FORMAL_BODY_RECONSTRUCTION_SERIALIZATION","1","0","1","1","1","1","1","HIGH","DOC_ARTIFACT_RECONSTRUCTION","Only confirmed defective page scope is authoritative; residual unresolved pages remain outside the repair scope."
"CUMCM-2009-A-001","derived/scale/papers/CUMCM-2009-A-001","PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md","3","1,10,20","0","17","FORMAL_BODY_RECONSTRUCTION_SERIALIZATION","1","0","1","1","1","1","1","HIGH","Q0_NATIVE_MARKDOWN_TO_FORMAL_SERIALIZATION","Only confirmed defective page scope is authoritative; residual unresolved pages remain outside the repair scope."
"CUMCM-2010-A-003","derived/scale/papers/CUMCM-2010-A-003","PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md","3","1,11,21","0","18","FORMAL_BODY_RECONSTRUCTION_SERIALIZATION","1","0","1","1","1","1","1","HIGH","Q0_NATIVE_MARKDOWN_TO_FORMAL_SERIALIZATION","Only confirmed defective page scope is authoritative; residual unresolved pages remain outside the repair scope."
"CUMCM-2011-A-001","derived/scale/papers/CUMCM-2011-A-001","PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md","2","13,15","0","0","FORMAL_BODY_RECONSTRUCTION_SERIALIZATION","1","0","1","1","1","1","1","HIGH","Q0_NATIVE_MARKDOWN_TO_FORMAL_SERIALIZATION","All marker-only pages for this identity are currently confirmed defective."
"CUMCM-2012-B-B149","derived/scale/papers/CUMCM-2012-B-B149","PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md","1","28","0","0","FORMAL_BODY_RECONSTRUCTION_SERIALIZATION","1","0","1","1","1","1","1","HIGH","Q0_NATIVE_MARKDOWN_TO_FORMAL_SERIALIZATION","All marker-only pages for this identity are currently confirmed defective."
"CUMCM-2013-A-001","derived/scale/papers/CUMCM-2013-A-001","PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md","3","12,18,45","0","6","FORMAL_BODY_RECONSTRUCTION_SERIALIZATION","1","0","1","1","1","1","1","HIGH","Q0_NATIVE_MARKDOWN_TO_FORMAL_SERIALIZATION","Only confirmed defective page scope is authoritative; residual unresolved pages remain outside the repair scope."
"CUMCM-2014-A-A1501","derived/scale/papers/CUMCM-2014-A-A1501","PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md","2","11,32","0","0","FORMAL_BODY_RECONSTRUCTION_SERIALIZATION","1","0","1","1","1","1","1","HIGH","Q0_NATIVE_MARKDOWN_TO_FORMAL_SERIALIZATION","All marker-only pages for this identity are currently confirmed defective."
