sample_order,paper_id,year,problem,source_page,packet_page_role,source_path,source_sha256,formal_artifact_path,formal_artifact_sha256,formal_excerpt_path,visual_packet_path,current_machine_classification,source_visual_classification,reviewer_comment,review_status
5,CUMCM-1996-B-003,1996,B,4,C,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996B：节水洗衣机的设计.pdf,96257EB5FD8EE017CBE33AAD705C4451E444DAEF10172DBA9DC2C8E3F20533CC,derived/scale/papers/CUMCM-1996-B-003/paper.md,747914D495F481AEA94B89B6481B5B807695DFAC4C1C281DE639E2F58A4F0997,reports/scale/g11_targeted_visual_diagnostic/05_CUMCM-1996-B-003/page_C_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/05_CUMCM-1996-B-003/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
6,CUMCM-1997-A-009,1997,A,1,A,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997A：关于零件参数问题的建模.pdf,FF068F978532B4A37B625C35EFCBF72E2BBD2EFDA2638E93BD0D77B8483EA314,derived/scale/papers/CUMCM-1997-A-009/paper.md,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59,reports/scale/g11_targeted_visual_diagnostic/06_CUMCM-1997-A-009/page_A_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/06_CUMCM-1997-A-009/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
6,CUMCM-1997-A-009,1997,A,3,B,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997A：关于零件参数问题的建模.pdf,FF068F978532B4A37B625C35EFCBF72E2BBD2EFDA2638E93BD0D77B8483EA314,derived/scale/papers/CUMCM-1997-A-009/paper.md,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59,reports/scale/g11_targeted_visual_diagnostic/06_CUMCM-1997-A-009/page_B_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/06_CUMCM-1997-A-009/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
6,CUMCM-1997-A-009,1997,A,5,C,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997A：关于零件参数问题的建模.pdf,FF068F978532B4A37B625C35EFCBF72E2BBD2EFDA2638E93BD0D77B8483EA314,derived/scale/papers/CUMCM-1997-A-009/paper.md,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59,reports/scale/g11_targeted_visual_diagnostic/06_CUMCM-1997-A-009/page_C_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/06_CUMCM-1997-A-009/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
7,CUMCM-1998-A-001,1998,A,1,A,1998年数学建模国赛真题+优秀论文/1998年国赛优秀论文/1998A：投资收益与风险的优化模型.pdf,4A2874E66796AC3E5CEF35A48C2A4BB0E73094E824DE2335C0091F86EE51AC27,derived/scale/papers/CUMCM-1998-A-001/paper.md,96063CBA314A4F2CBA5DBE2319045D111F6D07789F83372C519D124C7AA4C1B2,reports/scale/g11_targeted_visual_diagnostic/07_CUMCM-1998-A-001/page_A_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/07_CUMCM-1998-A-001/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
7,CUMCM-1998-A-001,1998,A,2,B,1998年数学建模国赛真题+优秀论文/1998年国赛优秀论文/1998A：投资收益与风险的优化模型.pdf,4A2874E66796AC3E5CEF35A48C2A4BB0E73094E824DE2335C0091F86EE51AC27,derived/scale/papers/CUMCM-1998-A-001/paper.md,96063CBA314A4F2CBA5DBE2319045D111F6D07789F83372C519D124C7AA4C1B2,reports/scale/g11_targeted_visual_diagnostic/07_CUMCM-1998-A-001/page_B_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/07_CUMCM-1998-A-001/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
8,CUMCM-2001-A-002,2001,A,1,A,2001年数学建模国赛真题+优秀论文/2001年国赛优秀论文/2001A：血管三维重建的问题.pdf,6AAB07C9A698931E3B7F6B8E60906E643D98E5A51677904FA79138793321AC8F,derived/scale/papers/CUMCM-2001-A-002/paper.md,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59,reports/scale/g11_targeted_visual_diagnostic/08_CUMCM-2001-A-002/page_A_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/08_CUMCM-2001-A-002/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
8,CUMCM-2001-A-002,2001,A,3,B,2001年数学建模国赛真题+优秀论文/2001年国赛优秀论文/2001A：血管三维重建的问题.pdf,6AAB07C9A698931E3B7F6B8E60906E643D98E5A51677904FA79138793321AC8F,derived/scale/papers/CUMCM-2001-A-002/paper.md,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59,reports/scale/g11_targeted_visual_diagnostic/08_CUMCM-2001-A-002/page_B_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/08_CUMCM-2001-A-002/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
8,CUMCM-2001-A-002,2001,A,5,C,2001年数学建模国赛真题+优秀论文/2001年国赛优秀论文/2001A：血管三维重建的问题.pdf,6AAB07C9A698931E3B7F6B8E60906E643D98E5A51677904FA79138793321AC8F,derived/scale/papers/CUMCM-2001-A-002/paper.md,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59,reports/scale/g11_targeted_visual_diagnostic/08_CUMCM-2001-A-002/page_C_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/08_CUMCM-2001-A-002/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
9,CUMCM-2002-A-002,2002,A,1,A,2002年数学建模国赛真题+优秀论文/2002年优秀论文/2002A：车灯线光源的优化设计方案.pdf,8E981B48894748BD7C77F8BC20987C633A743CF674A0DFC7F718B87B3ED850B9,derived/scale/papers/CUMCM-2002-A-002/paper.md,D2C2B9A9C3053CBA6E8268335CA5BE7D0214F512AC81C7C8AE6302E692F1088E,reports/scale/g11_targeted_visual_diagnostic/09_CUMCM-2002-A-002/page_A_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/09_CUMCM-2002-A-002/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
9,CUMCM-2002-A-002,2002,A,5,B,2002年数学建模国赛真题+优秀论文/2002年优秀论文/2002A：车灯线光源的优化设计方案.pdf,8E981B48894748BD7C77F8BC20987C633A743CF674A0DFC7F718B87B3ED850B9,derived/scale/papers/CUMCM-2002-A-002/paper.md,D2C2B9A9C3053CBA6E8268335CA5BE7D0214F512AC81C7C8AE6302E692F1088E,reports/scale/g11_targeted_visual_diagnostic/09_CUMCM-2002-A-002/page_B_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/09_CUMCM-2002-A-002/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
9,CUMCM-2002-A-002,2002,A,10,C,2002年数学建模国赛真题+优秀论文/2002年优秀论文/2002A：车灯线光源的优化设计方案.pdf,8E981B48894748BD7C77F8BC20987C633A743CF674A0DFC7F718B87B3ED850B9,derived/scale/papers/CUMCM-2002-A-002/paper.md,D2C2B9A9C3053CBA6E8268335CA5BE7D0214F512AC81C7C8AE6302E692F1088E,reports/scale/g11_targeted_visual_diagnostic/09_CUMCM-2002-A-002/page_C_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/09_CUMCM-2002-A-002/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
10,CUMCM-2003-A-002,2003,A,1,A,2003年数学建模国赛真题+优秀论文/2003年优秀论文/2003A：SARS传播预测的数学模型.pdf,09FAC486AFB2A0AF905E373CF070497044B24FC21413D803B5DF8AC174CF61FC,derived/scale/papers/CUMCM-2003-A-002/paper.md,D2C2B9A9C3053CBA6E8268335CA5BE7D0214F512AC81C7C8AE6302E692F1088E,reports/scale/g11_targeted_visual_diagnostic/10_CUMCM-2003-A-002/page_A_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/10_CUMCM-2003-A-002/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
10,CUMCM-2003-A-002,2003,A,5,B,2003年数学建模国赛真题+优秀论文/2003年优秀论文/2003A：SARS传播预测的数学模型.pdf,09FAC486AFB2A0AF905E373CF070497044B24FC21413D803B5DF8AC174CF61FC,derived/scale/papers/CUMCM-2003-A-002/paper.md,D2C2B9A9C3053CBA6E8268335CA5BE7D0214F512AC81C7C8AE6302E692F1088E,reports/scale/g11_targeted_visual_diagnostic/10_CUMCM-2003-A-002/page_B_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/10_CUMCM-2003-A-002/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
10,CUMCM-2003-A-002,2003,A,10,C,2003年数学建模国赛真题+优秀论文/2003年优秀论文/2003A：SARS传播预测的数学模型.pdf,09FAC486AFB2A0AF905E373CF070497044B24FC21413D803B5DF8AC174CF61FC,derived/scale/papers/CUMCM-2003-A-002/paper.md,D2C2B9A9C3053CBA6E8268335CA5BE7D0214F512AC81C7C8AE6302E692F1088E,reports/scale/g11_targeted_visual_diagnostic/10_CUMCM-2003-A-002/page_C_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/10_CUMCM-2003-A-002/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
11,CUMCM-2004-B-001,2004,B,1,A,2004年数学建模国赛真题+优秀论文/2004优秀论文/2004B：电力市场输电阻塞管理模型(特等奖).pdf,EF2F3C0652EE1718FA7D6ABE0F05FF2A0EC96721AA49459394137C05475BB1E8,derived/scale/papers/CUMCM-2004-B-001/paper.md,F501017C13D9B29686DD922D65EDC0CD658E90E82A5785E427A2D829537C8626,reports/scale/g11_targeted_visual_diagnostic/11_CUMCM-2004-B-001/page_A_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/11_CUMCM-2004-B-001/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
11,CUMCM-2004-B-001,2004,B,7,B,2004年数学建模国赛真题+优秀论文/2004优秀论文/2004B：电力市场输电阻塞管理模型(特等奖).pdf,EF2F3C0652EE1718FA7D6ABE0F05FF2A0EC96721AA49459394137C05475BB1E8,derived/scale/papers/CUMCM-2004-B-001/paper.md,F501017C13D9B29686DD922D65EDC0CD658E90E82A5785E427A2D829537C8626,reports/scale/g11_targeted_visual_diagnostic/11_CUMCM-2004-B-001/page_B_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/11_CUMCM-2004-B-001/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
11,CUMCM-2004-B-001,2004,B,14,C,2004年数学建模国赛真题+优秀论文/2004优秀论文/2004B：电力市场输电阻塞管理模型(特等奖).pdf,EF2F3C0652EE1718FA7D6ABE0F05FF2A0EC96721AA49459394137C05475BB1E8,derived/scale/papers/CUMCM-2004-B-001/paper.md,F501017C13D9B29686DD922D65EDC0CD658E90E82A5785E427A2D829537C8626,reports/scale/g11_targeted_visual_diagnostic/11_CUMCM-2004-B-001/page_C_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/11_CUMCM-2004-B-001/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
12,CUMCM-2005-A-001,2005,A,1,A,2005年数学建模国赛真题+优秀论文/2005年国赛优秀论文/2005A：长江水质综合评价与预测的数学模型.pdf,4733466C8FCF3B9C3D3AD25EF33E3F4ABBC5F1CFD1DB0AE73337E1712B94F79F,derived/scale/papers/CUMCM-2005-A-001/paper.md,2EEBBD295DAA69E745D4D3A60E17C0CEEF5CCD2C3D4B962C1E8FD4F59535AFD8,reports/scale/g11_targeted_visual_diagnostic/12_CUMCM-2005-A-001/page_A_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/12_CUMCM-2005-A-001/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
12,CUMCM-2005-A-001,2005,A,6,B,2005年数学建模国赛真题+优秀论文/2005年国赛优秀论文/2005A：长江水质综合评价与预测的数学模型.pdf,4733466C8FCF3B9C3D3AD25EF33E3F4ABBC5F1CFD1DB0AE73337E1712B94F79F,derived/scale/papers/CUMCM-2005-A-001/paper.md,2EEBBD295DAA69E745D4D3A60E17C0CEEF5CCD2C3D4B962C1E8FD4F59535AFD8,reports/scale/g11_targeted_visual_diagnostic/12_CUMCM-2005-A-001/page_B_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/12_CUMCM-2005-A-001/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
12,CUMCM-2005-A-001,2005,A,11,C,2005年数学建模国赛真题+优秀论文/2005年国赛优秀论文/2005A：长江水质综合评价与预测的数学模型.pdf,4733466C8FCF3B9C3D3AD25EF33E3F4ABBC5F1CFD1DB0AE73337E1712B94F79F,derived/scale/papers/CUMCM-2005-A-001/paper.md,2EEBBD295DAA69E745D4D3A60E17C0CEEF5CCD2C3D4B962C1E8FD4F59535AFD8,reports/scale/g11_targeted_visual_diagnostic/12_CUMCM-2005-A-001/page_C_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/12_CUMCM-2005-A-001/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
13,CUMCM-2006-A-001,2006,A,1,A,2006年数学建模国赛真题+优秀论文/2006年优秀论文/2006A：出版社的资源配置方案.pdf,CC9E85F867A88EDEF5247AFFEA2B1BB850CC1ED0EBA5099851521799BCA94C22,derived/scale/papers/CUMCM-2006-A-001/paper.md,F711F303D778F4FCC8FBC4213E499B268F53ABFF7CCB69BACDD3DD5D6C2676CE,reports/scale/g11_targeted_visual_diagnostic/13_CUMCM-2006-A-001/page_A_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/13_CUMCM-2006-A-001/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
13,CUMCM-2006-A-001,2006,A,9,B,2006年数学建模国赛真题+优秀论文/2006年优秀论文/2006A：出版社的资源配置方案.pdf,CC9E85F867A88EDEF5247AFFEA2B1BB850CC1ED0EBA5099851521799BCA94C22,derived/scale/papers/CUMCM-2006-A-001/paper.md,F711F303D778F4FCC8FBC4213E499B268F53ABFF7CCB69BACDD3DD5D6C2676CE,reports/scale/g11_targeted_visual_diagnostic/13_CUMCM-2006-A-001/page_B_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/13_CUMCM-2006-A-001/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
13,CUMCM-2006-A-001,2006,A,17,C,2006年数学建模国赛真题+优秀论文/2006年优秀论文/2006A：出版社的资源配置方案.pdf,CC9E85F867A88EDEF5247AFFEA2B1BB850CC1ED0EBA5099851521799BCA94C22,derived/scale/papers/CUMCM-2006-A-001/paper.md,F711F303D778F4FCC8FBC4213E499B268F53ABFF7CCB69BACDD3DD5D6C2676CE,reports/scale/g11_targeted_visual_diagnostic/13_CUMCM-2006-A-001/page_C_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/13_CUMCM-2006-A-001/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
14,CUMCM-2007-A-001,2007,A,1,A,2007年数学建模国赛真题+优秀论文/2007年优秀论文/2007A：《中国人口增长预测模型》 (3).pdf,88E3E71E000B6FF6DF5B4D0F47A7003C72698795524DBF97F78D4D7A97E7DB2E,derived/scale/papers/CUMCM-2007-A-001/paper.md,B1528F2EBA4BA48539DE1B6F0BD32C20EC358577E8B0E841E24563E04A40C30D,reports/scale/g11_targeted_visual_diagnostic/14_CUMCM-2007-A-001/page_A_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/14_CUMCM-2007-A-001/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
14,CUMCM-2007-A-001,2007,A,12,B,2007年数学建模国赛真题+优秀论文/2007年优秀论文/2007A：《中国人口增长预测模型》 (3).pdf,88E3E71E000B6FF6DF5B4D0F47A7003C72698795524DBF97F78D4D7A97E7DB2E,derived/scale/papers/CUMCM-2007-A-001/paper.md,B1528F2EBA4BA48539DE1B6F0BD32C20EC358577E8B0E841E24563E04A40C30D,reports/scale/g11_targeted_visual_diagnostic/14_CUMCM-2007-A-001/page_B_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/14_CUMCM-2007-A-001/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
14,CUMCM-2007-A-001,2007,A,24,C,2007年数学建模国赛真题+优秀论文/2007年优秀论文/2007A：《中国人口增长预测模型》 (3).pdf,88E3E71E000B6FF6DF5B4D0F47A7003C72698795524DBF97F78D4D7A97E7DB2E,derived/scale/papers/CUMCM-2007-A-001/paper.md,B1528F2EBA4BA48539DE1B6F0BD32C20EC358577E8B0E841E24563E04A40C30D,reports/scale/g11_targeted_visual_diagnostic/14_CUMCM-2007-A-001/page_C_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/14_CUMCM-2007-A-001/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
15,CUMCM-2008-A-002,2008,A,1,A,2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：数码相机定位 (2).pdf,71D2F1578C19C361500DAEC8DF01DE19BA5BE94F862199D53FFA13228DB71637,derived/scale/papers/CUMCM-2008-A-002/paper.md,91909AF98ACD1C70122CAFB384AB8E68F927C0A2D3D0A97B3203A72B01315F36,reports/scale/g11_targeted_visual_diagnostic/15_CUMCM-2008-A-002/page_A_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/15_CUMCM-2008-A-002/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
