paper_id,year,problem,subject_type_current,artifact_eligible_current,primary_file,primary_extension,member_file_count,member_extensions,supported_alternate_membership_exists,supported_alternate_path,current_extraction_backend,existing_local_capability,conversion_required,new_dependency_required,recommended_strategy,risk_level,priority
CUMCM-2011-A-003,2011,A,PAPER,UNRESOLVED,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011A：城市表层土壤重金属污染分析（6）.doc,.doc,1,.doc,0,,none; deferred,inventory only; no approved DOC parser and Office/antiword are prohibited,1,1,NEW_EXTRACTION_CONTRACT_REQUIRED,HIGH,P2
CUMCM-2021-B-B007,2021,B,PAPER,UNRESOLVED,2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文B题-B007/B1.jpg,.jpg,45,.jpg,0,,none; deferred,existing Poppler/PIL can inspect raster metadata; no Paper extraction contract,0,0,EXISTING_LOCAL_READ_ONLY_BACKEND_CANDIDATE,HIGH,P2
CUMCM-2021-B-B026,2021,B,PAPER,UNRESOLVED,2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文B题-B026/B1.jpg,.jpg,26,.jpg,0,,none; deferred,existing Poppler/PIL can inspect raster metadata; no Paper extraction contract,0,0,EXISTING_LOCAL_READ_ONLY_BACKEND_CANDIDATE,HIGH,P2
CUMCM-2021-B-B050,2021,B,PAPER,UNRESOLVED,2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文B题-B050/B1.jpg,.jpg,59,.jpg,0,,none; deferred,existing Poppler/PIL can inspect raster metadata; no Paper extraction contract,0,0,EXISTING_LOCAL_READ_ONLY_BACKEND_CANDIDATE,HIGH,P2
CUMCM-2021-B-B106,2021,B,PAPER,UNRESOLVED,2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文B题-B106/B1.jpg,.jpg,28,.jpg,0,,none; deferred,existing Poppler/PIL can inspect raster metadata; no Paper extraction contract,0,0,EXISTING_LOCAL_READ_ONLY_BACKEND_CANDIDATE,HIGH,P2
CUMCM-2021-C-C066,2021,C,PAPER,UNRESOLVED,2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文C题-C066/C1.jpg,.jpg,60,.jpg,0,,none; deferred,existing Poppler/PIL can inspect raster metadata; no Paper extraction contract,0,0,EXISTING_LOCAL_READ_ONLY_BACKEND_CANDIDATE,HIGH,P2
CUMCM-2021-C-C085,2021,C,PAPER,UNRESOLVED,2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文C题-C085/C1.jpg,.jpg,56,.jpg,0,,none; deferred,existing Poppler/PIL can inspect raster metadata; no Paper extraction contract,0,0,EXISTING_LOCAL_READ_ONLY_BACKEND_CANDIDATE,HIGH,P2
CUMCM-2021-C-C169,2021,C,PAPER,UNRESOLVED,2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文C题-C169/C1.jpg,.jpg,51,.jpg,0,,none; deferred,existing Poppler/PIL can inspect raster metadata; no Paper extraction contract,0,0,EXISTING_LOCAL_READ_ONLY_BACKEND_CANDIDATE,HIGH,P2
CUMCM-2021-C-C283,2021,C,PAPER,UNRESOLVED,2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文C题-C283/C1.jpg,.jpg,58,.jpg,0,,none; deferred,existing Poppler/PIL can inspect raster metadata; no Paper extraction contract,0,0,EXISTING_LOCAL_READ_ONLY_BACKEND_CANDIDATE,HIGH,P2
CUMCM-2021-D-D017,2021,D,PAPER,UNRESOLVED,2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文D题-D017/D1.jpg,.jpg,21,.jpg,0,,none; deferred,existing Poppler/PIL can inspect raster metadata; no Paper extraction contract,0,0,EXISTING_LOCAL_READ_ONLY_BACKEND_CANDIDATE,HIGH,P2
CUMCM-2021-D-D026,2021,D,PAPER,UNRESOLVED,2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文D题-D026/D1.jpg,.jpg,36,.jpg,0,,none; deferred,existing Poppler/PIL can inspect raster metadata; no Paper extraction contract,0,0,EXISTING_LOCAL_READ_ONLY_BACKEND_CANDIDATE,HIGH,P2
CUMCM-2021-D-D034,2021,D,PAPER,UNRESOLVED,2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文D题-D034/D1.jpg,.jpg,30,.jpg,0,,none; deferred,existing Poppler/PIL can inspect raster metadata; no Paper extraction contract,0,0,EXISTING_LOCAL_READ_ONLY_BACKEND_CANDIDATE,HIGH,P2
CUMCM-2021-E-E014,2021,E,PAPER,UNRESOLVED,2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文E题-E014/E1.jpg,.jpg,51,.jpg,0,,none; deferred,existing Poppler/PIL can inspect raster metadata; no Paper extraction contract,0,0,EXISTING_LOCAL_READ_ONLY_BACKEND_CANDIDATE,HIGH,P2
CUMCM-2021-E-E025,2021,E,PAPER,UNRESOLVED,2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文E题-E025/E1.jpg,.jpg,39,.jpg,0,,none; deferred,existing Poppler/PIL can inspect raster metadata; no Paper extraction contract,0,0,EXISTING_LOCAL_READ_ONLY_BACKEND_CANDIDATE,HIGH,P2
CUMCM-2021-E-E037,2021,E,PAPER,UNRESOLVED,2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文E题-E037/E1.jpg,.jpg,37,.jpg,0,,none; deferred,existing Poppler/PIL can inspect raster metadata; no Paper extraction contract,0,0,EXISTING_LOCAL_READ_ONLY_BACKEND_CANDIDATE,HIGH,P2
CUMCM-2022-C-C229,2022,C,PAPER,UNRESOLVED,2022年数学建模国赛真题+优秀论文/2022年国赛优秀论文C题C229/8122397.jpg,.jpg,26,.jpg,0,,none; deferred,existing Poppler/PIL can inspect raster metadata; no Paper extraction contract,0,0,EXISTING_LOCAL_READ_ONLY_BACKEND_CANDIDATE,HIGH,P2
CUMCM-2022-E-E014,2022,E,PAPER,UNRESOLVED,2022年数学建模国赛真题+优秀论文/2022年国赛优秀论文E题E014/8122239.jpg,.jpg,24,.jpg,0,,none; deferred,existing Poppler/PIL can inspect raster metadata; no Paper extraction contract,0,0,EXISTING_LOCAL_READ_ONLY_BACKEND_CANDIDATE,HIGH,P2
