paper_id,population_group,prior_subject_type,prior_artifact_eligibility,final_subject_type,final_artifact_eligible,confidence,downstream_action,prior_manual_category,new_manual_category,status
CUMCM-2021-B-B050,IMAGE_SEQUENCE,PAPER,UNRESOLVED,PAPER,1,HIGH,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,,,RECONCILED
CUMCM-2021-B-B106,IMAGE_SEQUENCE,PAPER,UNRESOLVED,PAPER,1,HIGH,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,,,RECONCILED
CUMCM-2021-C-C066,IMAGE_SEQUENCE,PAPER,UNRESOLVED,PAPER,1,HIGH,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,,,RECONCILED
CUMCM-2021-C-C085,IMAGE_SEQUENCE,PAPER,UNRESOLVED,PAPER,1,HIGH,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,,,RECONCILED
CUMCM-2021-C-C169,IMAGE_SEQUENCE,PAPER,UNRESOLVED,PAPER,1,HIGH,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,,,RECONCILED
CUMCM-2021-C-C283,IMAGE_SEQUENCE,PAPER,UNRESOLVED,PAPER,1,HIGH,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,,,RECONCILED
CUMCM-2021-D-D017,IMAGE_SEQUENCE,PAPER,UNRESOLVED,PAPER,1,HIGH,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,,,RECONCILED
CUMCM-2021-D-D026,IMAGE_SEQUENCE,PAPER,UNRESOLVED,PAPER,1,HIGH,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,,,RECONCILED
CUMCM-2021-D-D034,IMAGE_SEQUENCE,PAPER,UNRESOLVED,PAPER,1,HIGH,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,,,RECONCILED
CUMCM-2021-E-E014,IMAGE_SEQUENCE,PAPER,UNRESOLVED,PAPER,1,HIGH,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,,,RECONCILED
CUMCM-2021-E-E025,IMAGE_SEQUENCE,PAPER,UNRESOLVED,PAPER,1,HIGH,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,,,RECONCILED
CUMCM-2021-E-E037,IMAGE_SEQUENCE,PAPER,UNRESOLVED,PAPER,1,HIGH,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,,,RECONCILED
CUMCM-2022-C-C229,IMAGE_SEQUENCE,PAPER,UNRESOLVED,PAPER,1,HIGH,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,,,RECONCILED
CUMCM-2022-E-E014,IMAGE_SEQUENCE,PAPER,UNRESOLVED,PAPER,1,HIGH,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,,,RECONCILED
