file_path,sha256,year,paper_id,final_q,repair_route,route_reason,repair_required,ocr_required,source_reacquisition_required,manual_review_required,status
2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015A：太阳影子定位 (1).pdf,F3D4B18A4D728686016DC5452CD59D787744190141D355AF865F2892AD34BC6D,2015,CUMCM-2015-A-007,Q0,NO_PDF_REPAIR,Readable native PDF; no repair required.,False,False,False,False,pending
2025年数学建模国赛真题+优秀论文/2025年数学建模国赛真题！/C题/C题.pdf,D54400F4BB9920C0D37F15F5B6BC161AA281C4B32C03C063EFDEB739716EAC08,2025,CUMCM-2025-C-001,Q0,NO_PDF_REPAIR,Readable native PDF; no repair required.,False,False,False,False,pending
2025年数学建模国赛真题+优秀论文/2025年数学建模国赛真题！/D题/D题.pdf,280D690A1F78F5FF0889760592BF30DE903AC5144ED8491D59AE744E560C4AA8,2025,CUMCM-2025-D-001,Q0,NO_PDF_REPAIR,Readable native PDF; no repair required.,False,False,False,False,pending
2025年数学建模国赛真题+优秀论文/2025年数学建模国赛真题！/E题/E题.pdf,1E6ECC6D75D2AAA0EAE3DC961704FD17F1CD452A51490C80855A9F799CE1A958,2025,CUMCM-2025-E-001,Q0,NO_PDF_REPAIR,Readable native PDF; no repair required.,False,False,False,False,pending
2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,2025,unknown,Q2,OCR_REPAIR,Clear scan without reliable text layer; OCR is deferred to a later stage.,True,True,False,False,pending
2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A196.pdf,B5FB5FE4B2D06998BC85BB9276CF16AFC1755913D91F18C01D5209F8F13ADA92,2025,unknown,Q2,OCR_REPAIR,Clear scan without reliable text layer; OCR is deferred to a later stage.,True,True,False,False,pending
2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/B060.pdf,17C1B7E255DCBB8E8AC34C0A750E39D7DF1EE4A5ED0D0323B46388F168090330,2025,unknown,Q2,OCR_REPAIR,Clear scan without reliable text layer; OCR is deferred to a later stage.,True,True,False,False,pending
2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/C023.pdf,515FD73059B427606FFD099781A124D34BAC3306BEE87C61D47259622351EB17,2025,unknown,Q2,OCR_REPAIR,Clear scan without reliable text layer; OCR is deferred to a later stage.,True,True,False,False,pending
2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/C132.pdf,08EC307CDC65A673E6838E2E3D00B2337DA414E7891284617E10F370E5F246B5,2025,unknown,Q2,OCR_REPAIR,Clear scan without reliable text layer; OCR is deferred to a later stage.,True,True,False,False,pending
2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/D037.pdf,BDBED46FF5D5841AF82FA6441C8AB3D83A62658672857E445DEADFD8DAD1F0AC,2025,unknown,Q2,OCR_REPAIR,Clear scan without reliable text layer; OCR is deferred to a later stage.,True,True,False,False,pending
2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/E030.pdf,7270DACAB35167E998141D5D34C34D12A912B3620249A892697211F24D009E0D,2025,unknown,Q2,OCR_REPAIR,Clear scan without reliable text layer; OCR is deferred to a later stage.,True,True,False,False,pending
