paper_id,year,problem,member_file_count,member_file_paths,primary_file_path,primary_file_sha256,quality_profile,artifact_generation_mode,expected_primary_artifacts
CUMCM-2015-D-002,2015,D,3,2015年数学建模国赛真题+优秀论文/2015年赛题/2015年国赛D题.doc;2015年数学建模国赛真题+优秀论文/2015年赛题/2015年国赛D题附件2 中华人民共和国土地增值税暂行条例.pdf;2015年数学建模国赛真题+优秀论文/2015年赛题/2015年国赛D题附件3 其他相关说明.pdf,2015年数学建模国赛真题+优秀论文/2015年赛题/2015年国赛D题.doc,6654537F357520596A54FB116301F419B889C355D6672B771B97F12592EE0AA0,Q0=2;Q1=0;Q2=0;Q3=0;Q4=0;Q5=0,one_paper_level_artifact_set_from_memberships,3
CUMCM-2015-D-003,2015,D,1,2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015D：众筹筑屋规划方案设计 (3).pdf,2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015D：众筹筑屋规划方案设计 (3).pdf,74203B2E3B6EBF7FBEFCA0AA82E360C4967474A6D1AF70E1CE569110ED4531E3,Q0=1;Q1=0;Q2=0;Q3=0;Q4=0;Q5=0,one_paper_level_artifact_set_from_memberships,3
CUMCM-2025-A-001,2025,A,1,2025年数学建模国赛真题+优秀论文/2025年数学建模国赛真题！/A题/A题.pdf,2025年数学建模国赛真题+优秀论文/2025年数学建模国赛真题！/A题/A题.pdf,A37F6AAD30B16EA09DA9CB320CE194B12D3A28874008CF9FF19549F6C6079447,Q0=1;Q1=0;Q2=0;Q3=0;Q4=0;Q5=0,one_paper_level_artifact_set_from_memberships,3
CUMCM-2025-A-A066,2025,A,1,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,Q0=0;Q1=0;Q2=1;Q3=0;Q4=0;Q5=0,one_paper_level_artifact_set_from_memberships,3
CUMCM-2025-A-A196,2025,A,1,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A196.pdf,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A196.pdf,B5FB5FE4B2D06998BC85BB9276CF16AFC1755913D91F18C01D5209F8F13ADA92,Q0=0;Q1=0;Q2=1;Q3=0;Q4=0;Q5=0,one_paper_level_artifact_set_from_memberships,3
CUMCM-2025-B-001,2025,B,1,2025年数学建模国赛真题+优秀论文/2025年数学建模国赛真题！/B题/B题.pdf,2025年数学建模国赛真题+优秀论文/2025年数学建模国赛真题！/B题/B题.pdf,B0B2CE649282C2D7063AF3C30AC9C0D931512DC86014D3147BC765D8F1C8CF87,Q0=1;Q1=0;Q2=0;Q3=0;Q4=0;Q5=0,one_paper_level_artifact_set_from_memberships,3
CUMCM-2025-B-B060,2025,B,1,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/B060.pdf,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/B060.pdf,17C1B7E255DCBB8E8AC34C0A750E39D7DF1EE4A5ED0D0323B46388F168090330,Q0=0;Q1=0;Q2=1;Q3=0;Q4=0;Q5=0,one_paper_level_artifact_set_from_memberships,3
CUMCM-2025-C-001,2025,C,1,2025年数学建模国赛真题+优秀论文/2025年数学建模国赛真题！/C题/C题.pdf,2025年数学建模国赛真题+优秀论文/2025年数学建模国赛真题！/C题/C题.pdf,D54400F4BB9920C0D37F15F5B6BC161AA281C4B32C03C063EFDEB739716EAC08,Q0=1;Q1=0;Q2=0;Q3=0;Q4=0;Q5=0,one_paper_level_artifact_set_from_memberships,3
CUMCM-2025-C-C023,2025,C,1,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/C023.pdf,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/C023.pdf,515FD73059B427606FFD099781A124D34BAC3306BEE87C61D47259622351EB17,Q0=0;Q1=0;Q2=1;Q3=0;Q4=0;Q5=0,one_paper_level_artifact_set_from_memberships,3
CUMCM-2025-C-C132,2025,C,1,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/C132.pdf,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/C132.pdf,08EC307CDC65A673E6838E2E3D00B2337DA414E7891284617E10F370E5F246B5,Q0=0;Q1=0;Q2=1;Q3=0;Q4=0;Q5=0,one_paper_level_artifact_set_from_memberships,3
CUMCM-2025-D-001,2025,D,1,2025年数学建模国赛真题+优秀论文/2025年数学建模国赛真题！/D题/D题.pdf,2025年数学建模国赛真题+优秀论文/2025年数学建模国赛真题！/D题/D题.pdf,280D690A1F78F5FF0889760592BF30DE903AC5144ED8491D59AE744E560C4AA8,Q0=1;Q1=0;Q2=0;Q3=0;Q4=0;Q5=0,one_paper_level_artifact_set_from_memberships,3
CUMCM-2025-D-D037,2025,D,1,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/D037.pdf,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/D037.pdf,BDBED46FF5D5841AF82FA6441C8AB3D83A62658672857E445DEADFD8DAD1F0AC,Q0=0;Q1=0;Q2=1;Q3=0;Q4=0;Q5=0,one_paper_level_artifact_set_from_memberships,3
CUMCM-2025-E-001,2025,E,1,2025年数学建模国赛真题+优秀论文/2025年数学建模国赛真题！/E题/E题.pdf,2025年数学建模国赛真题+优秀论文/2025年数学建模国赛真题！/E题/E题.pdf,1E6ECC6D75D2AAA0EAE3DC961704FD17F1CD452A51490C80855A9F799CE1A958,Q0=1;Q1=0;Q2=0;Q3=0;Q4=0;Q5=0,one_paper_level_artifact_set_from_memberships,3
CUMCM-2025-E-E030,2025,E,1,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/E030.pdf,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/E030.pdf,7270DACAB35167E998141D5D34C34D12A912B3620249A892697211F24D009E0D,Q0=0;Q1=0;Q2=1;Q3=0;Q4=0;Q5=0,one_paper_level_artifact_set_from_memberships,3
